Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcBPRM	1897	358	4	13	0	1522	103	0	0	0
bcBEAA	1896	348	8	18	0	1522	108	0	0	0
bcAXRZ	1895	350	7	12	1	1525	100	0	0	0
bcARWI	1894	328	2	13	0	1551	98	0	0	0
bcCASJ	1894	340	6	22	0	1526	111	0	0	0
bcAFLP	1893	328	4	17	0	1544	114	0	0	0
bcARTL	1890	485	9	19	0	1377	157	0	0	0
bcBEBV	1888	344	7	13	0	1524	93	0	0	0
bcATMO	1888	277	8	4	0	1599	114	0	0	0
bcAZMZ	1887	278	2	5	0	1602	96	0	0	0
bcBSHB	1885	203	3	15	0	1664	80	0	0	0
bcACKC	1885	342	5	13	2	1523	114	0	0	0
bcBCYD	1884	295	1	25	0	1563	100	0	0	0
bcAZOT	1882	289	4	16	0	1573	81	0	0	0
bcBPYT	1881	352	6	10	0	1513	109	0	0	0
bcAUEX	1880	406	3	10	0	1461	103	0	0	0
bcAFXN	1878	422	2	22	0	1432	129	0	0	0
bcAZVE	1877	329	2	27	0	1519	117	0	0	0
bcAPCR	1877	326	9	7	2	1533	122	0	0	0
bcAFDG	1873	309	1	12	0	1551	109	0	0	0
bcAJOG	1872	265	1	16	0	1590	109	0	0	0
bcBAXK	1871	382	6	15	0	1468	110	0	0	0
bcBNFQ	1869	290	23	11	0	1545	91	0	0	0
bcAYIE	1869	338	1	12	0	1518	107	0	0	0
bcBMKG	1868	445	9	21	0	1393	145	0	0	0
bcBUDS	1868	267	5	17	0	1579	91	0	0	0
bcAZOC	1868	332	4	16	0	1516	120	0	0	0
bcBMWL	1866	298	6	22	0	1540	122	0	0	0
bcAWOZ	1866	284	19	9	0	1554	105	0	0	0
bcBQRE	1865	259	12	6	0	1588	102	0	0	0
bcBIHU	1864	365	3	12	0	1484	122	0	0	0
bcACPA	1861	335	10	6	0	1510	118	0	0	0
bcADNP	1860	313	2	35	1	1509	97	0	0	0
bcBMZS	1859	272	8	46	0	1533	106	0	0	0
bcBESP	1859	284	3	16	0	1556	103	0	0	0
bcBIKT	1857	431	2	7	0	1417	129	0	0	0
bcBPBO	1853	373	5	13	0	1462	112	0	0	0
bcBGPJ	1853	290	10	15	1	1537	111	0	0	0
bcBMJL	1853	275	3	20	0	1555	120	0	0	0
bcBJGW	1852	430	3	3	0	1416	143	0	0	0
bcAAFI	1851	263	11	12	0	1565	86	0	0	0
bcBNGK	1850	364	17	6	0	1463	114	0	0	0
bcBFGT	1848	453	5	20	1	1369	136	0	0	0
bcBVXI	1847	314	6	19	0	1508	105	0	0	0
bcBSTD	1846	479	8	2	0	1357	125	0	0	0
bcCBMC	1846	307	5	14	0	1520	97	0	0	0
bcARJR	1844	235	1	21	0	1587	100	0	0	0
bcAKIJ	1843	345	4	16	0	1478	108	0	0	0
bcAWCY	1843	404	14	32	0	1393	141	0	0	0
bcAZPP	1841	246	2	9	0	1584	84	0	0	0
bcBNNZ	1839	261	5	24	0	1549	87	0	0	0
bcBMYL	1837	341	3	17	0	1476	80	0	0	0
bcASXP	1835	237	3	13	0	1582	87	0	0	0
bcBBSI	1834	359	8	14	0	1453	118	0	0	0
bcCAHG	1834	273	17	27	0	1517	84	0	0	0
bcBDBI	1834	326	15	13	0	1480	112	0	0	0
bcBCCS	1833	295	8	5	2	1523	99	0	0	0
bcAOPU	1831	451	5	21	1	1353	133	0	0	0
bcADWO	1830	332	4	26	0	1468	114	0	0	0
bcALNZ	1828	322	4	8	1	1493	129	0	0	0
bcBSSN	1828	391	5	15	0	1417	129	0	0	0
bcBNUT	1827	340	1	19	0	1467	113	0	0	0
bcAPRI	1827	365	16	6	1	1439	118	0	0	0
bcBJCL	1826	251	9	11	0	1555	94	0	0	0
bcABVE	1825	315	3	30	0	1477	92	0	0	0
bcBSIS	1824	189	7	13	0	1615	84	0	0	0
bcBAIU	1822	250	3	1	0	1568	83	0	0	0
bcAJPS	1821	274	15	15	0	1517	110	0	0	0
bcACDM	1817	279	2	16	1	1519	94	0	0	0
bcBNUJ	1815	346	3	21	0	1445	109	0	0	0
bcAOZV	1814	384	12	8	2	1408	126	0	0	0
bcBUES	1814	300	8	11	0	1495	121	0	0	0
bcAFLS	1811	411	1	21	0	1378	150	0	0	0
bcAZAC	1811	345	7	14	1	1444	109	0	0	0
bcAIVV	1811	280	26	17	0	1488	103	0	0	0
bcAKGD	1809	392	30	13	1	1373	123	0	0	0
bcAGMH	1807	246	3	18	0	1540	97	0	0	0
bcBGVX	1806	298	1	6	0	1501	95	0	0	0
bcAMKT	1806	323	5	27	0	1451	102	0	0	0
bcBIRI	1806	235	16	18	0	1537	99	0	0	0
bcBIIR	1805	278	6	11	0	1510	99	0	0	0
bcAXUO	1805	295	35	8	0	1467	95	0	0	0
bcBHKD	1803	271	3	21	1	1507	94	0	0	0
bcAXCQ	1802	238	6	6	0	1552	102	0	0	0
bcAZFI	1802	343	4	18	0	1437	114	0	0	0
bcBDPE	1802	268	0	29	0	1505	97	0	0	0
bcAPOV	1801	336	7	28	0	1430	108	0	0	0
bcARDN	1801	381	3	10	1	1406	100	0	0	0
bcAIHQ	1798	329	5	22	1	1441	108	0	0	0
bcAIOW	1797	367	16	6	2	1406	124	0	0	0
